previous_crop,crop,soil_type,temperature,humidity,yield,market_price,nitrogen,phosphorus,potassium,ph
potato,rice,high_nitrogen,32.9,84,4.92,2397,62,22,24,7.2
maize,wheat,balanced,21.3,55,5.14,2196,60,51,42,7.2
tomato,sugarcane,high_nitrogen,22.5,46,29.71,602,62,44,22,6.1
wheat,tomato,high_nitrogen,24.8,42,15.04,1194,54,29,40,6.4
potato,potato,low_nitrogen,25.0,69,9.87,1521,52,46,38,6.1
tomato,groundnut,high_nitrogen,29.1,50,2.9,5557,65,29,47,6.2
sugarcane,wheat,high_nitrogen,30.5,50,4.7,2061,54,22,43,7.0
maize,cotton,balanced,23.4,89,4.23,6547,59,44,41,6.7
wheat,groundnut,low_nitrogen,33.0,66,3.55,5992,53,46,46,6.7
tomato,wheat,balanced,29.0,54,5.12,2361,52,20,26,6.3
wheat,rice,high_nitrogen,24.2,69,4.83,2083,43,36,21,5.7
sugarcane,sugarcane,low_nitrogen,25.3,78,30.18,200,45,50,48,5.8
tomato,wheat,low_nitrogen,22.7,47,4.73,2535,65,22,38,6.9
wheat,groundnut,low_nitrogen,23.3,53,3.54,5450,57,60,54,5.6
maize,sugarcane,high_nitrogen,28.0,79,29.92,587,64,43,25,7.4
cotton,maize,high_nitrogen,22.3,53,6.03,2047,31,22,35,7.4
wheat,cotton,balanced,24.8,66,4.72,7028,50,46,41,6.2
groundnut,sugarcane,balanced,29.7,64,30.56,632,74,59,59,6.2
maize,tomato,high_nitrogen,33.8,62,15.28,1456,62,29,47,7.4
wheat,maize,high_nitrogen,30.4,71,6.16,1627,56,57,57,6.9
groundnut,groundnut,low_nitrogen,34.0,66,3.24,5369,77,24,36,6.2
potato,wheat,high_nitrogen,24.0,86,4.66,2672,55,56,49,6.8
rice,cotton,low_nitrogen,32.4,88,3.87,6506,67,23,34,6.5
sugarcane,groundnut,balanced,20.5,56,3.93,5834,41,45,26,6.7
potato,rice,high_nitrogen,29.0,61,4.8,2322,40,22,21,6.4
sugarcane,rice,high_nitrogen,31.5,77,4.74,1813,45,49,26,6.2
sugarcane,potato,low_nitrogen,27.0,65,10.2,933,57,48,22,6.9
maize,maize,high_nitrogen,32.3,65,5.73,2155,59,25,24,6.4
sugarcane,potato,low_nitrogen,27.6,63,10.08,1005,65,39,37,6.4
maize,rice,high_nitrogen,25.7,86,5.02,2048,48,46,50,7.3
rice,wheat,high_nitrogen,32.1,47,4.23,2020,60,21,23,6.6
cotton,potato,high_nitrogen,24.2,87,9.89,1328,24,52,35,7.3
rice,sugarcane,high_nitrogen,32.8,44,30.03,231,52,34,36,5.8
groundnut,maize,high_nitrogen,29.1,56,5.83,2198,87,37,29,7.4
tomato,cotton,low_nitrogen,26.5,65,3.81,6379,51,37,56,6.2
groundnut,rice,high_nitrogen,30.3,84,5.17,2018,63,44,38,5.5
cotton,cotton,balanced,25.9,74,4.75,6548,28,35,35,7.4
cotton,wheat,high_nitrogen,33.5,76,4.39,2613,32,36,53,6.8
tomato,sugarcane,low_nitrogen,28.3,50,29.9,416,69,50,23,5.5
potato,potato,low_nitrogen,31.7,85,9.85,1442,50,41,28,6.4
maize,potato,balanced,32.1,57,10.48,854,54,41,30,6.0
cotton,tomato,low_nitrogen,24.8,67,14.75,1580,28,57,23,7.2
rice,tomato,low_nitrogen,24.2,56,14.73,1212,58,20,32,7.3
sugarcane,tomato,low_nitrogen,24.3,42,14.9,1681,49,42,52,5.9
maize,tomato,high_nitrogen,26.1,83,15.16,1279,43,20,55,6.4
tomato,sugarcane,high_nitrogen,33.1,84,29.78,200,69,57,36,6.0
potato,wheat,low_nitrogen,30.8,56,4.22,2509,65,50,22,5.8
cotton,sugarcane,balanced,24.2,65,30.71,344,36,37,57,5.7
tomato,sugarcane,high_nitrogen,26.6,69,30.16,200,64,36,32,7.3
rice,groundnut,high_nitrogen,32.5,45,2.74,5576,54,58,30,5.9
sugarcane,sugarcane,high_nitrogen,23.7,47,29.83,263,66,39,37,5.6
sugarcane,tomato,low_nitrogen,26.3,74,15.0,1826,42,59,32,6.8
sugarcane,rice,high_nitrogen,28.2,76,5.17,2550,50,35,47,7.1
groundnut,rice,high_nitrogen,21.9,43,4.98,2287,70,26,33,5.5
sugarcane,groundnut,low_nitrogen,34.7,44,3.21,6013,70,43,46,6.3
cotton,cotton,balanced,25.1,49,4.42,6826,37,54,28,5.6
groundnut,sugarcane,high_nitrogen,31.1,45,29.99,200,78,21,55,6.6
sugarcane,tomato,high_nitrogen,27.7,81,15.06,1718,49,39,47,6.6
sugarcane,wheat,high_nitrogen,25.2,90,4.3,2366,59,53,33,7.0
maize,maize,balanced,27.8,61,6.69,1939,54,39,59,6.3
maize,sugarcane,balanced,34.9,70,30.59,529,60,34,25,5.7
cotton,tomato,low_nitrogen,28.6,88,15.03,1446,22,36,35,6.3
wheat,groundnut,low_nitrogen,21.8,55,3.79,5523,52,24,24,6.2
potato,maize,balanced,29.6,62,6.6,1620,70,29,30,5.8
maize,potato,low_nitrogen,31.4,40,9.76,1270,45,22,33,7.2
wheat,rice,high_nitrogen,29.1,85,4.85,2408,70,55,34,6.8
potato,potato,balanced,30.8,58,10.5,1228,54,59,59,6.9
groundnut,cotton,low_nitrogen,29.5,58,3.83,6807,69,23,30,6.2
groundnut,groundnut,low_nitrogen,20.7,65,3.39,5402,84,55,60,5.8
wheat,sugarcane,high_nitrogen,34.3,61,29.79,200,56,53,30,7.2
tomato,cotton,balanced,22.1,69,4.48,6738,45,56,56,6.6
potato,potato,low_nitrogen,25.3,78,9.79,1260,51,47,58,6.0
maize,tomato,high_nitrogen,25.0,66,15.23,1151,48,20,25,6.3
potato,groundnut,balanced,20.9,81,3.92,5858,54,34,28,6.6
rice,maize,balanced,30.5,74,6.42,1937,53,48,30,6.8
wheat,wheat,balanced,23.3,70,5.07,2457,41,34,23,7.3
groundnut,wheat,high_nitrogen,24.6,59,4.37,2394,89,57,52,7.3
groundnut,tomato,high_nitrogen,22.6,41,15.18,1393,63,50,41,6.6
potato,rice,high_nitrogen,30.5,58,5.14,1974,42,30,33,7.0
maize,cotton,balanced,32.2,87,4.8,6539,43,58,46,6.1
rice,cotton,low_nitrogen,20.9,51,3.96,6870,67,39,51,6.4
maize,tomato,balanced,27.3,69,15.63,1827,44,39,60,6.1
maize,cotton,balanced,26.0,90,4.65,6479,65,36,31,6.7
potato,maize,balanced,27.8,50,6.33,1810,42,51,25,6.9
cotton,groundnut,high_nitrogen,24.8,63,2.83,5805,30,58,36,5.7
maize,maize,high_nitrogen,21.2,44,6.08,1860,59,24,57,5.5
potato,maize,low_nitrogen,21.4,45,5.93,1575,55,55,47,7.0
wheat,potato,low_nitrogen,34.3,73,10.01,1526,46,52,45,5.7
tomato,sugarcane,balanced,31.6,47,30.6,494,51,25,54,6.2
wheat,rice,high_nitrogen,27.3,72,5.13,2175,53,53,50,6.5
potato,cotton,high_nitrogen,21.3,61,3.96,6340,62,52,53,5.9
tomato,groundnut,high_nitrogen,23.2,68,3.13,5414,40,44,32,5.6
rice,tomato,high_nitrogen,33.6,67,14.88,1317,43,51,34,6.7
tomato,groundnut,low_nitrogen,22.1,62,3.38,5717,64,35,42,7.1
potato,maize,balanced,34.9,73,6.3,2105,66,59,45,6.4
wheat,maize,high_nitrogen,24.9,69,5.97,1556,56,37,59,7.5
groundnut,groundnut,high_nitrogen,32.0,77,2.8,5832,65,24,59,7.2
rice,cotton,low_nitrogen,30.7,54,3.75,6762,49,42,43,6.4
sugarcane,cotton,high_nitrogen,24.3,75,3.82,6676,50,56,43,5.7
rice,tomato,low_nitrogen,24.3,72,15.27,1257,52,41,43,6.5
potato,groundnut,low_nitrogen,30.1,87,3.58,6009,64,30,23,6.6
wheat,tomato,low_nitrogen,29.6,88,14.74,1386,62,27,58,7.2
tomato,maize,low_nitrogen,28.7,57,6.2,1844,46,33,40,7.5
potato,maize,low_nitrogen,30.8,83,5.83,1867,64,57,35,7.4
wheat,rice,high_nitrogen,20.5,90,5.26,2265,52,36,32,7.1
sugarcane,rice,high_nitrogen,26.2,79,5.05,2330,46,26,40,6.3
cotton,sugarcane,high_nitrogen,21.9,83,29.93,525,33,51,23,6.0
wheat,cotton,high_nitrogen,32.2,61,4.25,6784,42,43,39,5.8
maize,groundnut,low_nitrogen,32.5,87,3.51,6051,70,54,32,6.3
rice,tomato,low_nitrogen,31.7,55,14.73,1721,70,51,55,6.8
wheat,maize,high_nitrogen,33.1,65,6.06,1532,52,29,28,7.4
tomato,rice,high_nitrogen,30.8,81,4.71,1964,50,56,45,6.6
sugarcane,wheat,balanced,34.5,63,4.88,2554,41,24,57,5.7
potato,tomato,balanced,28.0,88,15.66,1395,57,58,31,7.4
rice,groundnut,low_nitrogen,20.1,56,3.45,5980,45,50,31,6.8
sugarcane,tomato,high_nitrogen,30.0,84,15.14,1769,46,22,40,6.1
rice,groundnut,low_nitrogen,33.7,50,3.25,5952,43,49,37,6.7
maize,potato,high_nitrogen,28.9,67,9.85,1500,61,59,32,7.0
tomato,potato,high_nitrogen,24.7,74,9.82,802,63,31,44,6.4
cotton,cotton,low_nitrogen,30.4,54,4.1,6455,27,49,42,6.9
potato,sugarcane,low_nitrogen,22.6,46,30.13,200,48,38,53,7.2
groundnut,cotton,balanced,33.1,73,4.26,6720,89,46,29,6.4
sugarcane,cotton,balanced,22.2,46,4.23,6566,47,29,30,6.3
potato,potato,low_nitrogen,33.1,51,10.08,1383,40,39,27,7.0
groundnut,groundnut,low_nitrogen,21.1,77,3.73,5375,76,46,58,6.5
sugarcane,maize,high_nitrogen,22.6,53,6.06,1976,42,27,48,5.7
potato,rice,high_nitrogen,30.8,50,4.99,2376,48,33,34,6.6
rice,sugarcane,low_nitrogen,26.6,62,29.76,636,52,42,25,6.2
sugarcane,maize,balanced,30.7,82,6.71,1501,52,33,57,6.1
cotton,wheat,balanced,30.7,61,4.9,2293,40,44,59,5.7
sugarcane,rice,high_nitrogen,24.8,68,5.27,2348,47,39,44,7.0
groundnut,wheat,low_nitrogen,32.9,84,4.43,2376,79,20,38,6.9
sugarcane,wheat,high_nitrogen,21.1,71,4.39,2083,59,27,39,7.0
potato,cotton,low_nitrogen,24.4,75,3.88,6867,42,21,60,5.8
rice,sugarcane,balanced,34.7,67,30.79,200,54,54,49,7.3
wheat,sugarcane,low_nitrogen,32.9,57,30.23,200,65,27,52,6.2
cotton,rice,high_nitrogen,20.9,50,4.78,2303,34,32,25,6.5
maize,groundnut,low_nitrogen,32.2,52,3.62,5914,60,54,55,6.0
potato,sugarcane,balanced,32.2,70,30.28,556,58,60,26,7.4
groundnut,wheat,low_nitrogen,29.0,72,4.6,2691,84,28,59,6.8
rice,cotton,balanced,26.4,84,4.59,6403,63,36,42,6.2
sugarcane,tomato,high_nitrogen,26.2,78,15.15,1602,70,34,60,6.2
sugarcane,tomato,balanced,24.6,49,15.6,1732,42,48,38,5.8
maize,wheat,high_nitrogen,20.7,61,4.47,2792,63,41,44,6.9
groundnut,cotton,low_nitrogen,24.3,59,4.04,6621,82,44,54,6.8
maize,tomato,low_nitrogen,22.8,50,14.81,1501,45,44,36,7.2
maize,rice,low_nitrogen,29.4,75,4.46,2295,64,37,50,6.5
maize,groundnut,low_nitrogen,30.1,40,3.6,5355,60,43,23,6.6
maize,tomato,high_nitrogen,29.3,66,14.75,1577,53,41,23,6.9
wheat,sugarcane,low_nitrogen,34.6,59,29.82,518,44,33,52,6.0
tomato,sugarcane,low_nitrogen,23.5,75,30.05,200,51,49,45,6.1
maize,wheat,low_nitrogen,24.0,58,4.37,2530,60,22,29,7.1
cotton,cotton,balanced,20.3,52,4.51,6802,34,41,34,6.9
groundnut,potato,high_nitrogen,29.7,86,10.03,1005,82,57,48,6.0
wheat,sugarcane,low_nitrogen,26.1,75,30.17,655,47,51,41,6.8
groundnut,groundnut,low_nitrogen,27.0,62,3.4,5701,66,48,32,6.0
groundnut,rice,balanced,30.8,44,5.26,2188,76,43,44,7.1
tomato,potato,high_nitrogen,34.6,69,10.15,1307,69,38,40,5.8
wheat,tomato,balanced,33.4,72,15.63,1831,47,20,47,6.3
wheat,groundnut,low_nitrogen,22.6,83,3.79,5923,40,43,34,6.8
maize,maize,high_nitrogen,29.9,62,5.85,2144,66,46,34,5.9
tomato,cotton,low_nitrogen,26.1,75,3.93,6647,56,56,50,6.6
sugarcane,potato,low_nitrogen,34.3,72,10.0,1267,68,52,59,7.1
potato,cotton,high_nitrogen,23.9,87,3.78,6794,57,52,22,6.4
potato,sugarcane,balanced,21.1,88,30.62,660,70,53,26,5.6
maize,rice,high_nitrogen,25.3,52,4.84,2476,62,42,55,7.0
tomato,cotton,balanced,34.3,60,4.49,6489,70,54,31,6.3
cotton,groundnut,low_nitrogen,25.9,44,3.77,5901,26,38,31,6.8
cotton,cotton,low_nitrogen,27.5,90,4.03,6603,27,39,30,6.5
sugarcane,cotton,low_nitrogen,30.6,41,3.82,6472,45,57,39,6.9
cotton,wheat,low_nitrogen,21.8,58,4.36,2550,25,32,34,6.9
rice,tomato,high_nitrogen,26.2,81,14.8,1569,69,24,22,6.4
sugarcane,sugarcane,high_nitrogen,23.7,60,30.23,200,51,34,56,6.3
groundnut,tomato,low_nitrogen,34.9,55,14.93,1576,84,54,32,6.5
maize,sugarcane,low_nitrogen,28.0,87,29.97,425,70,23,59,6.9
sugarcane,rice,high_nitrogen,26.7,70,4.82,2161,70,48,21,5.8
rice,wheat,high_nitrogen,34.8,46,4.75,2391,51,59,34,6.1
groundnut,potato,low_nitrogen,34.8,62,10.26,1491,71,59,50,5.9
sugarcane,potato,low_nitrogen,25.4,79,9.96,1292,56,42,35,6.0
groundnut,cotton,low_nitrogen,23.4,66,3.72,6816,63,23,28,7.4
cotton,sugarcane,low_nitrogen,26.5,42,30.01,348,32,21,33,5.9
sugarcane,wheat,balanced,32.5,64,4.94,2023,65,42,56,6.2
wheat,wheat,low_nitrogen,20.7,56,4.53,2391,62,42,41,6.3
sugarcane,tomato,high_nitrogen,29.5,51,15.22,1516,61,25,20,7.2
maize,rice,high_nitrogen,31.9,75,4.87,2127,53,20,48,5.9
cotton,wheat,balanced,32.1,73,5.02,2369,20,54,58,5.7
groundnut,groundnut,balanced,25.1,64,3.83,5876,61,44,42,5.7
rice,tomato,low_nitrogen,28.4,53,14.91,1897,49,25,22,5.6
maize,sugarcane,low_nitrogen,32.2,47,29.72,500,59,36,55,6.5
sugarcane,tomato,balanced,26.8,67,15.38,1143,65,47,47,7.2
tomato,cotton,high_nitrogen,27.7,75,3.95,6883,61,42,37,5.8
potato,potato,low_nitrogen,23.3,47,10.04,1280,66,54,58,7.1
sugarcane,potato,low_nitrogen,29.2,46,9.77,939,50,56,59,6.5
cotton,rice,high_nitrogen,32.1,53,5.22,2027,34,25,47,6.9
rice,sugarcane,high_nitrogen,22.2,56,29.89,200,55,58,49,6.7
wheat,cotton,high_nitrogen,33.7,74,4.02,6753,48,34,38,6.4
tomato,groundnut,balanced,22.3,61,4.08,6061,61,59,53,5.9
rice,rice,high_nitrogen,27.2,66,5.24,2253,59,33,40,6.9
cotton,groundnut,low_nitrogen,27.6,73,3.6,5591,39,38,50,7.1
sugarcane,cotton,balanced,28.0,89,4.27,6390,46,45,28,5.9
groundnut,potato,low_nitrogen,31.9,77,9.96,1514,63,27,43,6.8
rice,potato,low_nitrogen,27.8,90,9.72,841,40,26,24,5.6
tomato,groundnut,low_nitrogen,25.5,65,3.52,5529,42,52,34,6.8
sugarcane,sugarcane,low_nitrogen,31.3,66,30.25,624,41,32,57,6.4
potato,cotton,low_nitrogen,23.2,55,4.14,6470,56,23,50,5.6
tomato,maize,high_nitrogen,20.3,75,6.17,1489,56,30,55,6.7
maize,tomato,low_nitrogen,21.9,42,15.08,1534,69,49,46,6.5
cotton,rice,high_nitrogen,27.8,86,4.86,2292,24,23,23,5.9
cotton,rice,high_nitrogen,25.2,46,5.04,2377,26,29,27,5.9
potato,sugarcane,high_nitrogen,25.7,55,30.08,423,58,35,41,6.5
cotton,rice,high_nitrogen,33.1,45,5.23,2419,34,54,47,7.1
rice,sugarcane,high_nitrogen,22.8,41,30.19,200,65,23,49,7.2
cotton,tomato,high_nitrogen,27.7,85,14.93,1866,31,36,57,7.2
groundnut,wheat,low_nitrogen,29.8,41,4.39,2372,74,60,56,5.7
tomato,tomato,balanced,28.7,64,15.69,1873,47,30,59,7.2
wheat,wheat,low_nitrogen,28.4,47,4.49,2039,53,50,45,7.2
tomato,potato,low_nitrogen,34.4,51,9.95,976,50,49,58,6.8
potato,rice,high_nitrogen,25.1,61,4.95,1903,42,24,32,7.0
sugarcane,maize,balanced,23.0,74,6.66,1629,47,48,51,6.4
maize,groundnut,low_nitrogen,29.9,74,3.22,5978,69,60,44,6.9
maize,groundnut,low_nitrogen,28.5,52,3.68,5947,56,40,60,6.0
rice,maize,balanced,20.8,46,6.77,1672,63,46,34,6.2
potato,wheat,balanced,32.0,52,5.09,2314,68,46,59,6.9
groundnut,maize,high_nitrogen,31.3,86,6.09,1979,86,31,31,7.4
sugarcane,cotton,low_nitrogen,27.3,89,4.0,6930,46,49,25,6.4
cotton,cotton,high_nitrogen,27.3,62,3.99,6716,21,20,44,6.0
maize,cotton,high_nitrogen,28.5,77,4.13,6933,42,54,21,6.6
rice,wheat,balanced,34.8,59,4.73,2393,53,57,60,6.5
rice,cotton,low_nitrogen,30.9,88,4.1,6338,67,39,51,6.8
sugarcane,wheat,high_nitrogen,26.9,48,4.42,2251,66,42,31,6.7
groundnut,maize,low_nitrogen,25.6,44,5.83,1491,72,49,31,5.9
cotton,maize,balanced,32.8,57,6.64,1570,27,44,41,5.7
potato,cotton,low_nitrogen,30.8,60,3.84,7064,42,57,39,5.7
rice,potato,low_nitrogen,31.1,61,10.16,1066,61,31,48,5.8
potato,rice,high_nitrogen,31.3,53,4.75,2293,54,22,52,5.7
cotton,cotton,balanced,34.8,58,4.55,6323,22,45,42,6.7
tomato,cotton,low_nitrogen,26.1,51,4.02,7084,64,42,36,7.0
sugarcane,rice,low_nitrogen,33.7,60,4.56,2107,42,26,37,6.9
wheat,potato,low_nitrogen,31.7,40,9.82,1537,51,27,32,6.4
wheat,groundnut,low_nitrogen,31.3,54,3.3,5450,42,59,23,6.7
potato,tomato,balanced,30.7,73,15.37,1648,53,48,29,6.2
groundnut,sugarcane,balanced,31.6,51,30.31,403,62,35,26,6.8
groundnut,wheat,high_nitrogen,33.2,89,4.49,2475,86,21,26,5.9
tomato,maize,high_nitrogen,25.1,85,6.16,1589,54,24,39,7.3
tomato,sugarcane,low_nitrogen,27.4,79,29.7,207,41,22,22,5.8
groundnut,potato,low_nitrogen,21.7,47,10.16,1170,78,56,36,5.9
wheat,tomato,high_nitrogen,23.7,41,14.93,1373,46,44,31,7.3
tomato,potato,low_nitrogen,22.4,42,9.82,1410,44,39,28,6.6
wheat,potato,low_nitrogen,29.2,52,9.83,1114,59,37,32,6.3
sugarcane,cotton,high_nitrogen,23.6,50,4.27,6718,53,56,51,6.9
potato,cotton,balanced,28.8,81,4.47,6854,42,29,25,6.9
groundnut,wheat,balanced,25.8,75,4.71,2655,78,31,24,6.1
tomato,maize,low_nitrogen,24.5,69,5.95,1960,65,37,25,6.5
sugarcane,potato,low_nitrogen,23.9,51,10.13,850,67,30,42,5.9
maize,wheat,balanced,33.2,42,4.92,2732,64,55,30,5.9
maize,cotton,balanced,24.8,48,4.41,6476,44,56,33,5.6
cotton,rice,high_nitrogen,34.6,84,4.95,1806,25,35,31,7.1
wheat,cotton,balanced,30.9,57,4.47,6890,63,41,41,7.3
maize,groundnut,low_nitrogen,20.2,80,3.28,5776,59,55,23,5.8
cotton,potato,low_nitrogen,34.3,88,10.24,1046,32,36,55,6.9
cotton,groundnut,balanced,20.6,67,3.75,5667,38,54,39,6.8
tomato,rice,low_nitrogen,30.6,81,4.77,2192,62,49,59,5.5
groundnut,rice,high_nitrogen,26.1,90,4.74,2523,90,32,29,5.6
sugarcane,cotton,balanced,30.0,62,4.55,7040,64,20,27,5.9
rice,maize,low_nitrogen,23.2,72,5.72,1928,52,54,25,6.8
potato,potato,low_nitrogen,22.9,50,9.72,978,62,54,37,6.8
groundnut,cotton,high_nitrogen,20.9,76,3.86,6595,81,39,59,6.1
cotton,rice,balanced,23.4,74,5.27,2136,24,40,52,6.9
sugarcane,groundnut,low_nitrogen,34.9,61,3.71,5752,66,50,36,6.7
cotton,tomato,low_nitrogen,24.6,41,14.95,1851,23,41,59,7.3
tomato,wheat,balanced,33.9,46,5.21,2519,62,60,52,5.6
cotton,sugarcane,low_nitrogen,33.4,70,29.89,200,30,43,39,6.1
tomato,wheat,low_nitrogen,26.4,56,4.34,2306,40,47,40,5.6
rice,sugarcane,balanced,27.9,65,30.33,200,55,27,38,6.0
groundnut,potato,low_nitrogen,24.7,75,9.83,1272,66,43,42,5.6
tomato,rice,balanced,20.4,75,5.56,2007,66,33,56,6.2
groundnut,sugarcane,balanced,29.2,77,30.57,564,89,50,21,6.7
sugarcane,wheat,high_nitrogen,21.3,72,4.35,2256,54,20,29,7.0
tomato,rice,high_nitrogen,30.7,43,4.85,2220,41,58,60,6.0
potato,sugarcane,high_nitrogen,22.5,68,30.03,217,69,23,43,6.8
sugarcane,sugarcane,low_nitrogen,26.8,43,30.19,554,62,23,22,5.9
tomato,cotton,low_nitrogen,26.9,74,3.84,6350,47,25,44,6.6
groundnut,rice,high_nitrogen,21.4,73,5.25,2584,80,54,39,6.4
wheat,maize,high_nitrogen,29.1,67,6.23,1409,69,21,24,6.1
tomato,maize,high_nitrogen,20.1,86,5.78,2179,55,54,45,6.0
wheat,wheat,high_nitrogen,21.8,65,4.38,2773,48,43,35,6.0
tomato,maize,balanced,31.2,41,6.36,1622,48,32,50,5.9
groundnut,tomato,low_nitrogen,21.1,84,14.83,1102,75,36,54,6.7
sugarcane,sugarcane,high_nitrogen,34.1,53,30.06,200,48,38,54,7.1
maize,groundnut,low_nitrogen,22.4,42,3.58,5832,43,22,52,6.5
wheat,maize,low_nitrogen,27.6,79,6.26,1892,47,24,36,7.1
groundnut,cotton,balanced,33.0,63,4.4,7088,86,28,48,6.6
groundnut,sugarcane,high_nitrogen,31.4,51,30.14,200,85,38,27,7.1
rice,tomato,low_nitrogen,26.1,80,15.15,1103,55,22,54,6.7
potato,maize,high_nitrogen,31.7,86,5.97,1826,58,30,21,6.6
rice,tomato,high_nitrogen,34.6,56,15.06,1788,56,54,23,6.9
wheat,wheat,high_nitrogen,30.6,55,4.69,2519,60,40,44,5.6
tomato,maize,low_nitrogen,25.0,85,6.29,1698,66,41,24,6.7
tomato,groundnut,low_nitrogen,33.6,83,3.44,5664,70,49,51,7.5
maize,rice,balanced,25.2,53,5.58,2534,67,56,54,6.6
sugarcane,potato,low_nitrogen,23.2,86,10.25,1216,63,52,27,6.8
cotton,tomato,balanced,31.9,40,15.33,1323,34,39,25,5.7
rice,tomato,high_nitrogen,21.3,69,15.12,1707,66,52,54,5.9
maize,groundnut,high_nitrogen,34.0,40,2.7,5936,51,49,52,7.4
rice,cotton,high_nitrogen,30.5,51,3.93,6693,66,59,24,6.0
cotton,maize,low_nitrogen,32.3,45,5.93,1482,30,50,50,6.2
maize,tomato,high_nitrogen,25.3,56,15.19,1208,60,38,55,5.7
groundnut,wheat,balanced,34.8,46,5.22,2329,73,42,43,6.4
maize,cotton,high_nitrogen,33.3,78,4.2,7072,56,44,24,5.6
wheat,tomato,high_nitrogen,28.9,63,14.81,1460,47,54,48,6.0
sugarcane,groundnut,low_nitrogen,31.5,56,3.52,5910,50,54,59,5.9
tomato,rice,low_nitrogen,24.3,48,4.47,1825,46,53,44,6.9
maize,tomato,low_nitrogen,33.8,61,14.81,1466,44,35,23,7.3
maize,tomato,low_nitrogen,23.7,65,15.02,1406,40,41,46,6.4
tomato,potato,balanced,28.7,53,10.34,1412,62,57,29,7.4
rice,tomato,high_nitrogen,34.9,87,14.85,1729,40,51,57,6.9
rice,sugarcane,balanced,25.5,49,30.2,500,62,32,43,5.9
sugarcane,potato,low_nitrogen,29.2,68,9.75,1204,50,21,20,6.5
maize,potato,low_nitrogen,35.0,40,10.1,834,55,47,33,5.6
wheat,sugarcane,balanced,26.4,58,30.24,290,55,42,56,6.6
groundnut,wheat,low_nitrogen,33.2,42,4.66,2429,64,47,40,6.1
wheat,potato,low_nitrogen,24.9,89,10.28,1034,62,42,56,7.3
rice,rice,high_nitrogen,32.9,80,4.81,1944,44,26,47,7.2
cotton,cotton,high_nitrogen,28.5,60,3.81,6765,22,24,22,6.5
groundnut,groundnut,low_nitrogen,26.7,54,3.23,5596,80,52,44,6.8
potato,groundnut,low_nitrogen,24.8,40,3.26,5363,55,36,46,5.8
wheat,rice,balanced,21.1,75,5.63,2013,53,21,32,5.9
sugarcane,potato,balanced,20.7,76,10.23,880,64,40,44,6.2
wheat,groundnut,low_nitrogen,34.6,78,3.39,5677,66,60,38,7.4
wheat,wheat,high_nitrogen,30.8,69,4.44,2219,64,58,32,6.2
groundnut,cotton,balanced,31.3,51,4.49,6637,68,48,28,6.3
maize,tomato,balanced,24.5,80,15.68,1748,65,22,28,6.4
sugarcane,cotton,high_nitrogen,27.5,90,4.03,6945,52,52,53,6.9
cotton,cotton,low_nitrogen,24.7,88,4.09,6900,29,33,33,5.6
potato,potato,low_nitrogen,20.7,68,10.19,1474,60,28,59,5.9
rice,sugarcane,low_nitrogen,21.3,62,30.14,200,54,20,48,6.9
groundnut,wheat,low_nitrogen,33.1,54,4.5,2095,70,42,27,6.7
groundnut,potato,low_nitrogen,35.0,71,10.23,1492,81,24,40,6.3
wheat,rice,high_nitrogen,33.5,46,4.71,2438,54,25,36,6.2
wheat,groundnut,low_nitrogen,25.2,50,3.51,5422,53,54,26,6.0
wheat,sugarcane,high_nitrogen,34.8,43,29.91,309,63,59,44,6.0
groundnut,tomato,balanced,34.5,56,15.34,1573,72,42,49,6.7
cotton,sugarcane,balanced,21.0,50,30.57,200,29,48,54,6.3
cotton,potato,high_nitrogen,33.3,54,10.11,1085,27,50,44,7.2
maize,groundnut,high_nitrogen,34.4,62,3.04,5476,60,30,53,5.9
cotton,maize,low_nitrogen,29.8,46,5.81,1949,24,20,51,6.5
groundnut,potato,low_nitrogen,21.1,70,9.84,1098,90,57,26,6.6
sugarcane,cotton,balanced,25.5,68,4.58,6496,47,23,31,6.8
potato,tomato,high_nitrogen,24.3,90,15.09,1480,59,29,30,6.0
potato,cotton,balanced,24.6,62,4.6,6668,54,47,42,6.1
cotton,sugarcane,high_nitrogen,24.9,42,29.9,625,34,36,41,5.5
cotton,rice,high_nitrogen,31.6,60,5.2,2119,30,39,58,7.2
tomato,wheat,high_nitrogen,27.0,51,4.31,2480,57,35,37,6.0
wheat,wheat,low_nitrogen,33.8,47,4.37,2479,45,46,40,5.8
maize,groundnut,low_nitrogen,26.2,50,3.43,5666,69,59,46,7.2
wheat,rice,high_nitrogen,32.5,69,5.24,2331,61,28,47,7.0
cotton,potato,low_nitrogen,26.5,46,10.08,1584,24,29,57,7.3
cotton,groundnut,balanced,26.9,63,4.12,5742,29,57,40,6.6
cotton,groundnut,low_nitrogen,31.9,70,3.22,5805,20,27,31,6.9
potato,cotton,balanced,21.3,51,4.24,6477,51,49,58,5.9
cotton,potato,low_nitrogen,33.4,80,10.3,1249,30,56,20,6.6
wheat,sugarcane,balanced,25.7,70,30.45,200,69,60,50,6.9
maize,cotton,balanced,27.6,44,4.34,6731,50,29,36,7.4
tomato,groundnut,low_nitrogen,28.4,51,3.38,5365,53,52,43,6.5
cotton,groundnut,low_nitrogen,21.0,53,3.6,5956,27,45,52,6.2
groundnut,sugarcane,low_nitrogen,28.1,58,30.14,200,63,55,28,6.7
