crop_type,soil_type,N,P,K,pH,rainfall_mm,temperature_c,humidity,yield_per_acre
Maize,Alluvial,156.0,35.3,93.4,4.78,2398.1,39.1,78.9,8.16
Maize,Red,88.8,75.7,31.9,7.37,1530.7,19.8,21.1,7.26
Maize,Alluvial,118.8,63.4,189.6,5.23,2027.4,32.5,50.2,6.49
Maize,Red,151.9,85.2,75.6,5.83,2210.6,9.6,99.0,8.65
Maize,Clay,81.4,79.4,162.9,6.77,2132.0,28.7,68.3,8.29
Maize,Sandy,19.2,108.5,142.1,7.07,1324.6,25.4,67.5,2.2
Maize,Red,183.1,127.8,98.5,8.62,2426.7,28.1,34.0,5.15
Maize,Sandy,153.7,14.9,7.5,8.49,1495.2,22.1,38.6,4.6
Maize,Clay,106.7,130.0,100.9,4.64,111.9,35.1,64.0,9.51
Maize,Red,19.7,15.6,43.2,6.43,1983.5,27.4,46.8,5.36
Maize,Red,74.3,38.3,39.3,5.61,262.1,9.3,68.4,8.59
Maize,Red,180.2,53.4,198.4,4.51,227.1,42.2,94.2,7.6
Maize,Laterite,78.1,6.1,140.3,5.61,1471.8,46.3,44.0,3.95
Maize,Loamy,196.4,64.6,153.9,4.5,1964.4,22.9,23.2,7.41
Maize,Red,185.2,16.3,186.4,7.54,891.3,23.6,79.3,4.73
Maize,Loamy,136.0,61.4,100.1,8.95,613.4,24.7,43.3,15.78
Maize,Loamy,71.1,60.1,178.1,6.02,1599.4,43.6,36.8,6.72
Maize,Alluvial,141.9,76.9,89.0,8.77,593.7,20.5,44.6,14.71
Maize,Black,58.4,78.2,191.9,4.86,1827.2,32.6,74.4,3.23
Maize,Red,172.2,59.4,95.1,4.06,1058.5,26.4,92.6,9.14
Maize,Red,117.8,106.6,132.7,4.25,348.6,13.1,27.3,5.15
Maize,Loamy,71.8,20.3,41.7,6.5,2003.8,14.0,72.8,7.31
Maize,Loamy,173.6,14.7,131.8,4.6,113.6,10.1,93.3,2.92
Maize,Clay,171.7,41.6,68.8,6.69,607.8,40.4,81.9,14.57
Maize,Red,89.2,41.5,68.7,4.39,1293.7,13.9,84.9,7.74
Maize,Loamy,59.9,126.9,14.8,5.98,988.0,19.4,92.9,9.32
Maize,Laterite,66.0,88.3,102.6,6.45,1194.7,16.2,80.5,10.12
Maize,Black,176.4,103.9,110.5,8.8,387.9,37.5,30.3,8.72
Maize,Loamy,5.7,42.8,109.9,6.66,1630.3,20.2,63.2,3.25
Maize,Laterite,19.0,11.3,47.4,8.86,2450.2,34.2,90.4,4.31
Maize,Loamy,139.7,84.2,141.7,8.68,1697.6,18.6,65.6,5.92
Maize,Alluvial,94.5,91.1,57.1,7.23,2466.3,10.0,90.9,6.93
Maize,Laterite,99.3,53.1,40.4,5.22,2098.8,32.6,93.1,9.95
Maize,Loamy,125.2,27.5,117.5,8.13,202.1,24.8,56.9,8.69
Maize,Black,164.3,48.6,34.2,5.13,1224.6,25.0,43.1,15.98
Maize,Laterite,185.7,120.6,130.5,7.91,1137.0,31.8,47.9,6.65
Maize,Laterite,142.6,103.6,62.0,5.65,1735.6,22.0,37.0,6.07
Maize,Laterite,16.2,71.0,160.1,5.94,1020.6,8.6,56.6,4.9
Maize,Alluvial,17.5,37.8,159.6,8.02,597.0,21.4,30.7,6.05
Maize,Laterite,183.7,48.4,127.2,8.11,1328.3,36.7,44.9,7.09
Maize,Alluvial,78.3,147.5,134.8,8.78,583.5,42.6,45.7,3.53
Maize,Red,57.7,48.1,75.3,8.94,1979.1,10.9,89.8,7.14
Maize,Sandy,169.2,99.0,83.8,4.08,1520.0,8.5,20.1,4.16
Maize,Laterite,51.0,53.0,191.2,5.67,1456.5,24.1,51.7,5.72
Maize,Sandy,54.8,17.9,20.3,6.13,2370.0,16.7,40.5,2.2
Maize,Sandy,160.9,49.4,96.7,4.1,1860.5,24.7,62.0,8.26
Maize,Sandy,129.3,132.8,119.3,7.89,696.9,35.1,92.2,3.54
Maize,Black,135.0,135.5,60.6,8.5,414.1,34.4,63.8,8.58
Maize,Laterite,36.5,58.6,24.2,6.86,329.8,14.4,26.8,6.69
Maize,Laterite,152.5,124.3,47.2,5.32,600.5,38.6,95.8,10.69
Maize,Alluvial,81.2,18.0,127.0,6.48,760.4,26.9,82.0,10.43
Maize,Black,131.7,72.8,117.3,5.93,403.7,23.4,62.4,13.95
Maize,Red,178.6,44.2,11.8,5.31,768.9,44.4,71.9,9.78
Maize,Red,166.2,88.6,175.4,7.61,1642.9,30.6,77.8,4.41
Maize,Laterite,75.0,137.6,117.1,7.69,1276.3,9.2,25.1,2.45
Maize,Black,23.7,28.9,38.9,8.21,782.4,36.6,65.4,12.37
Maize,Alluvial,44.8,105.5,183.8,5.97,531.6,19.4,56.4,7.05
Maize,Laterite,170.7,127.5,185.2,6.53,693.6,24.1,77.5,6.6
Maize,Clay,91.9,55.3,168.0,7.79,871.0,12.1,25.7,8.8
Maize,Laterite,118.7,12.5,70.7,7.77,806.4,38.5,79.6,11.14
Maize,Laterite,82.5,35.5,106.6,8.61,1635.1,14.9,74.6,3.63
Maize,Black,144.7,38.0,197.5,6.8,1769.5,12.7,40.1,5.11
Maize,Black,31.7,75.8,55.5,7.77,1831.9,13.6,90.2,6.18
Maize,Alluvial,97.9,12.2,123.9,6.03,859.7,33.6,54.9,7.69
Maize,Black,114.3,17.3,181.2,8.54,1775.8,45.0,84.9,4.44
Maize,Alluvial,48.2,52.5,47.5,5.96,1443.1,35.4,97.1,11.22
Maize,Laterite,119.8,138.9,150.9,7.33,1498.5,27.5,34.9,4.58
Maize,Loamy,111.3,79.9,23.5,5.61,146.6,12.4,84.9,12.35
Maize,Sandy,133.0,126.4,77.8,8.37,612.0,21.0,32.1,8.63
Maize,Clay,63.2,83.7,89.5,5.38,2439.3,18.4,44.7,7.21
Maize,Loamy,124.2,30.9,78.3,6.34,1106.5,15.1,94.0,12.81
Maize,Laterite,45.2,26.0,28.5,7.14,100.3,8.7,51.2,6.62
Maize,Clay,93.7,57.1,62.1,4.87,1999.8,46.2,53.1,10.07
Maize,Clay,151.2,44.9,79.4,5.87,686.1,25.2,57.9,18.41
Maize,Red,165.9,39.4,68.1,6.41,1532.0,19.5,67.4,11.23
Maize,Laterite,82.3,78.5,199.2,4.89,2457.8,23.0,36.0,7.2
Maize,Loamy,61.8,128.9,199.8,5.59,457.3,39.7,68.0,5.05
Maize,Alluvial,73.7,30.2,77.8,6.09,821.4,34.3,93.5,12.09
Maize,Black,107.0,39.8,178.9,8.86,1987.1,29.7,96.5,5.65
Maize,Laterite,177.4,17.2,105.7,5.13,1085.9,43.1,62.2,4.14
Maize,Laterite,61.8,22.0,132.5,8.26,2335.9,46.9,82.5,2.2
Maize,Clay,106.7,118.0,71.3,4.89,1503.8,34.6,77.0,7.55
Maize,Alluvial,193.3,81.4,112.9,8.54,1599.0,20.1,43.7,7.64
Maize,Alluvial,174.0,120.2,192.7,4.36,744.0,11.2,80.1,4.14
Maize,Black,195.8,59.4,25.9,6.47,2197.6,43.5,20.9,8.46
Maize,Sandy,43.3,129.8,33.6,8.54,780.3,44.0,83.3,8.79
Maize,Black,112.8,145.3,199.2,4.58,2138.9,28.0,51.0,5.59
Maize,Clay,108.8,141.6,137.8,7.23,1807.9,44.7,39.9,2.2
Maize,Black,29.4,52.1,115.2,8.41,1998.7,30.1,25.9,6.93
Maize,Black,145.0,85.9,16.0,4.85,784.7,19.3,73.9,13.37
Maize,Sandy,140.6,88.4,41.9,7.02,175.2,12.8,45.0,7.3
Maize,Loamy,87.0,107.5,194.8,8.47,921.8,47.9,20.3,4.81
Maize,Clay,194.3,133.1,189.4,4.57,2183.6,13.2,70.6,2.2
Maize,Red,36.4,96.7,15.2,5.47,2310.8,14.9,25.2,5.45
Maize,Laterite,182.1,142.0,6.2,6.32,159.2,44.3,61.5,3.58
Maize,Red,26.8,138.5,187.3,4.78,181.3,47.6,58.6,5.53
Maize,Clay,189.8,58.5,7.0,7.45,2453.3,46.6,32.9,6.47
Maize,Loamy,115.3,97.4,149.2,4.91,2401.6,33.5,87.8,3.09
Maize,Sandy,118.5,130.7,190.9,7.38,1417.5,8.1,23.2,4.32
Maize,Alluvial,41.3,41.9,64.5,5.8,1109.3,12.0,23.4,9.65
Maize,Black,146.6,71.1,111.7,6.72,2442.0,22.7,36.6,10.6
Maize,Black,130.7,30.7,114.3,8.91,1344.0,45.1,52.6,6.28
Maize,Laterite,80.1,40.7,117.6,6.09,497.9,14.2,76.6,7.56
Maize,Loamy,75.5,92.2,123.9,6.8,2295.3,35.0,52.3,5.98
Maize,Black,24.6,44.4,195.9,5.35,1762.5,18.1,48.5,5.2
Maize,Alluvial,38.1,75.2,141.9,5.14,109.8,21.7,97.5,5.12
Maize,Black,54.3,146.5,173.2,8.05,407.2,38.2,37.2,6.9
Maize,Sandy,95.0,34.7,63.8,5.0,1958.2,36.5,70.8,8.81
Maize,Laterite,189.6,9.6,13.9,5.72,310.6,27.2,78.3,6.49
Maize,Black,69.5,83.7,192.0,5.03,1671.6,9.7,25.3,2.48
Maize,Laterite,38.3,130.7,81.9,8.62,2134.6,23.1,65.9,4.31
Maize,Alluvial,85.3,99.8,199.0,8.69,110.3,43.4,25.3,3.29
Maize,Laterite,110.1,79.0,36.1,5.86,1714.7,45.0,85.3,7.35
Maize,Black,5.4,55.8,52.1,4.31,530.9,13.0,93.2,10.52
Maize,Laterite,45.1,83.9,161.8,6.69,2279.1,10.3,67.1,2.2
Maize,Alluvial,108.8,68.0,80.5,8.21,626.5,37.4,80.6,14.94
Maize,Black,41.4,55.9,116.7,8.34,2330.4,21.4,25.4,3.68
Maize,Loamy,187.4,143.5,192.0,8.19,973.2,10.9,65.5,7.44
Maize,Black,193.4,27.2,149.8,5.78,1496.3,12.0,44.5,5.2
Maize,Laterite,103.4,137.9,127.5,8.2,455.9,42.2,74.0,4.34
Maize,Black,20.3,75.5,45.9,5.0,2357.5,38.5,75.7,6.98
Maize,Sandy,196.5,118.7,180.0,6.19,661.8,24.5,77.3,6.2
Maize,Red,122.6,26.1,146.7,5.04,1139.2,33.9,41.8,5.35
Maize,Black,195.1,144.5,50.8,4.5,455.9,36.1,78.1,8.07
Maize,Loamy,58.2,78.6,66.5,8.96,1135.4,42.8,91.7,12.93
Maize,Laterite,23.5,55.3,12.1,4.93,1892.2,21.0,73.5,6.02
Maize,Clay,138.5,32.1,110.9,8.93,1137.7,33.7,97.5,10.05
Maize,Laterite,122.3,108.3,66.8,6.7,1758.2,24.9,88.3,5.73
Maize,Red,161.4,109.3,9.3,6.82,1894.0,25.8,95.6,6.5
Cotton,Clay,112.1,5.2,68.2,5.1,2430.9,37.1,48.0,1.81
Cotton,Red,109.6,126.1,125.1,7.17,1398.5,45.1,94.6,0.83
Cotton,Black,32.5,103.4,150.8,4.58,646.5,12.0,54.7,1.89
Cotton,Alluvial,115.4,103.8,71.1,6.86,1173.7,34.4,24.0,1.62
Cotton,Clay,52.9,99.5,167.3,6.3,1730.8,34.1,23.1,1.21
Cotton,Alluvial,167.4,11.4,65.1,7.4,1457.1,25.5,63.2,3.2
Cotton,Loamy,89.0,77.7,180.7,5.3,2182.8,33.8,21.6,0.87
Cotton,Sandy,84.2,131.6,11.3,8.48,1665.0,37.5,20.2,0.82
Cotton,Sandy,119.8,82.9,158.2,6.78,2157.0,17.3,84.5,1.48
Cotton,Clay,154.0,17.2,36.3,7.67,1135.3,25.8,44.7,3.84
Cotton,Black,176.0,106.6,132.9,7.67,978.4,24.2,64.3,2.44
Cotton,Loamy,112.0,74.8,13.9,4.04,2471.4,34.4,49.2,2.95
Cotton,Laterite,94.6,87.0,140.3,7.84,2249.4,22.2,96.1,2.17
Cotton,Loamy,32.5,138.0,94.6,4.39,2403.3,43.2,80.4,1.51
Cotton,Laterite,60.6,110.9,59.0,7.57,1021.5,38.8,31.4,2.92
Cotton,Alluvial,26.0,140.6,61.7,6.6,1039.2,46.4,46.8,1.78
Cotton,Alluvial,62.6,116.5,81.8,7.65,597.0,23.1,20.6,2.71
Cotton,Alluvial,117.4,125.6,41.7,7.92,1530.8,43.7,33.8,3.78
Cotton,Laterite,17.8,107.2,111.0,6.63,800.9,31.8,22.2,1.33
Cotton,Sandy,133.3,89.3,108.3,8.22,663.9,25.7,32.4,1.56
Cotton,Sandy,199.9,61.4,80.5,6.52,556.7,43.1,65.8,2.08
Cotton,Laterite,6.6,94.4,23.3,7.9,2479.6,29.2,74.6,1.04
Cotton,Red,102.0,142.0,91.6,7.31,1752.6,42.9,22.7,2.22
Cotton,Sandy,185.8,106.9,52.8,6.53,177.6,33.9,64.3,1.08
Cotton,Alluvial,112.6,120.5,69.9,6.96,1287.9,45.8,79.8,1.25
Cotton,Clay,193.4,146.2,12.6,8.73,2493.8,45.7,73.7,2.93
Cotton,Laterite,173.0,125.5,60.0,6.74,299.7,44.6,52.3,0.8
Cotton,Laterite,41.5,130.4,81.1,5.91,730.5,9.8,41.4,0.8
Cotton,Alluvial,185.3,100.9,177.9,7.59,415.1,45.6,92.0,0.8
Cotton,Black,163.2,36.4,161.6,6.0,553.4,38.4,27.3,3.05
Cotton,Alluvial,17.5,56.7,122.2,6.78,1071.2,25.2,38.1,3.46
Cotton,Clay,82.2,109.2,124.4,5.43,1668.5,34.2,67.4,1.78
Cotton,Clay,199.1,63.1,129.5,8.43,1115.9,39.0,97.7,0.83
Cotton,Loamy,38.1,6.4,51.2,5.18,1112.8,44.8,90.3,1.65
Cotton,Loamy,25.5,104.1,123.2,5.8,237.8,33.6,65.6,2.14
Cotton,Sandy,78.7,104.1,49.5,6.12,1437.6,43.5,46.1,1.66
Cotton,Sandy,200.0,82.4,166.2,8.95,999.2,18.1,29.1,1.8
Cotton,Laterite,84.5,77.1,12.9,8.46,2495.9,15.3,29.6,1.86
Cotton,Sandy,187.5,135.9,110.9,6.89,1792.0,18.6,37.8,0.8
Cotton,Red,130.8,85.8,130.6,7.06,1826.1,33.7,61.6,1.94
Cotton,Red,193.8,25.9,175.2,5.42,1519.3,29.9,64.6,1.26
Cotton,Laterite,18.8,117.1,53.7,7.04,1750.7,26.8,90.1,2.55
Cotton,Alluvial,54.6,15.5,150.2,7.79,2494.8,44.0,94.1,2.15
Cotton,Alluvial,77.8,133.9,93.4,5.58,2358.9,42.0,87.5,2.4
Cotton,Alluvial,63.7,46.3,81.0,4.0,1220.0,27.5,89.1,1.99
Cotton,Laterite,37.9,96.6,21.7,8.73,800.1,17.1,30.3,1.71
Cotton,Black,19.2,130.4,88.9,6.91,1917.9,18.6,91.2,1.25
Cotton,Red,85.5,26.9,158.1,4.61,554.4,16.5,64.6,3.28
Cotton,Clay,181.6,135.4,24.9,4.71,2168.8,24.0,33.5,0.8
Cotton,Sandy,162.5,32.3,46.3,5.7,863.5,46.3,83.1,3.45
Cotton,Red,31.5,66.6,31.4,6.08,457.0,34.3,82.8,5.44
Cotton,Laterite,23.5,51.2,198.6,7.39,1852.2,16.5,26.3,1.69
Cotton,Alluvial,53.5,39.0,42.6,6.87,887.4,40.8,34.7,6.18
Cotton,Laterite,187.9,25.5,78.3,5.41,2166.1,27.5,22.1,1.04
Cotton,Black,42.2,87.4,163.8,7.84,2027.2,43.2,95.0,2.69
Cotton,Clay,45.4,139.3,47.1,5.28,812.8,38.7,54.2,1.84
Cotton,Loamy,143.3,17.3,149.6,7.47,701.9,18.1,70.3,3.29
Cotton,Black,43.9,43.1,150.4,8.89,1527.7,42.0,20.7,2.9
Cotton,Laterite,97.3,120.7,29.8,5.98,751.5,19.7,29.9,2.17
Cotton,Laterite,54.6,42.6,100.2,7.26,391.1,15.0,39.8,2.0
Cotton,Sandy,188.9,35.7,16.5,6.69,442.2,15.5,91.3,4.39
Cotton,Red,82.2,95.6,192.8,8.16,1212.5,37.5,30.3,2.47
Cotton,Clay,196.2,59.8,10.0,7.64,2094.4,13.0,30.8,0.87
Cotton,Loamy,23.8,46.4,174.5,4.36,2202.1,29.0,52.7,2.39
Cotton,Clay,151.8,137.5,167.4,5.27,895.1,28.0,21.1,2.04
Cotton,Sandy,130.4,132.9,83.4,4.33,1338.5,21.8,73.8,0.8
Cotton,Red,85.5,25.2,103.9,7.33,1986.4,36.5,31.8,1.53
Cotton,Black,138.2,115.8,168.8,5.46,2334.5,30.1,75.7,1.6
Cotton,Laterite,77.5,44.6,80.3,4.8,334.5,28.8,77.6,2.38
Cotton,Clay,184.8,10.3,171.9,5.15,2137.0,13.6,66.4,2.34
Cotton,Black,26.2,81.1,152.9,5.67,1009.9,45.4,37.0,2.36
Cotton,Laterite,32.9,85.9,41.1,4.19,186.4,41.3,67.3,1.57
Cotton,Alluvial,131.8,35.5,140.8,5.55,2195.2,21.5,69.6,2.75
Cotton,Sandy,34.4,45.4,23.2,5.05,672.9,44.7,26.2,3.05
Cotton,Alluvial,108.8,135.3,199.6,7.77,2429.9,39.5,97.1,1.04
Cotton,Sandy,70.4,57.6,103.8,5.8,1980.3,47.0,66.8,1.85
Cotton,Loamy,48.4,99.7,138.7,7.43,164.8,44.0,47.0,2.29
Cotton,Clay,43.1,92.0,69.8,4.05,580.5,12.5,87.4,2.44
Cotton,Laterite,192.2,60.0,6.9,5.42,386.3,12.1,26.2,0.8
Cotton,Black,19.1,56.4,10.3,6.77,607.6,19.5,92.8,4.52
Cotton,Alluvial,22.4,99.5,100.0,7.95,2299.1,23.5,67.7,1.59
Cotton,Sandy,186.7,111.9,140.3,5.68,349.6,30.9,66.1,1.11
Cotton,Laterite,193.3,26.6,164.8,5.38,941.7,16.7,66.8,2.84
Cotton,Loamy,95.4,92.8,100.4,6.44,286.0,15.6,45.7,1.1
Cotton,Loamy,154.8,46.9,84.8,6.62,423.7,9.0,32.2,1.62
Cotton,Red,24.5,140.4,26.5,7.17,1713.8,35.2,41.2,2.21
Cotton,Sandy,112.0,33.9,9.0,6.81,1216.7,34.3,31.7,3.19
Cotton,Black,105.3,73.7,152.3,8.4,2413.9,21.0,83.9,2.39
Cotton,Red,107.9,44.9,173.6,7.04,100.6,40.2,46.4,1.65
Cotton,Alluvial,114.8,32.1,161.1,8.86,615.4,15.5,56.4,2.57
Cotton,Sandy,117.1,20.8,39.7,4.21,2042.2,30.1,45.3,2.36
Cotton,Clay,114.7,146.3,139.3,8.48,1778.5,37.4,43.2,0.8
Cotton,Alluvial,157.7,48.0,114.7,5.25,2060.8,12.4,86.4,0.8
Cotton,Red,188.0,11.4,151.2,4.36,1221.5,15.0,31.3,1.46
Cotton,Laterite,77.4,98.7,74.5,7.37,1850.2,35.6,29.1,0.8
Cotton,Loamy,106.6,46.4,53.4,7.79,383.8,22.8,32.1,5.38
Cotton,Red,138.9,87.3,73.1,7.53,1389.7,26.8,60.9,3.33
Cotton,Sandy,194.7,72.5,185.7,4.05,694.1,12.2,81.6,2.04
Cotton,Alluvial,167.3,132.7,123.3,8.3,137.0,12.3,27.4,0.8
Cotton,Loamy,69.9,142.0,7.6,5.75,417.0,13.1,85.2,2.44
Cotton,Laterite,136.2,123.4,186.8,8.38,866.5,31.5,26.2,1.18
Cotton,Clay,195.9,57.9,94.3,7.76,2002.5,17.3,94.4,0.93
Cotton,Black,127.3,65.9,16.9,6.45,2052.0,12.0,25.6,3.01
Cotton,Red,110.8,37.2,33.6,6.87,2445.9,17.5,48.4,2.95
Cotton,Alluvial,94.3,130.4,185.6,4.12,223.7,46.3,42.2,1.4
Cotton,Clay,31.7,86.9,127.6,8.29,1422.1,24.4,87.1,2.48
Cotton,Laterite,106.0,80.7,110.2,6.59,121.1,8.1,27.8,1.35
Cotton,Clay,66.4,55.7,153.6,6.91,458.1,41.5,90.6,2.61
Cotton,Laterite,162.2,133.8,171.0,6.17,1920.8,11.9,23.2,0.8
Cotton,Loamy,88.0,134.1,88.8,6.67,2392.7,20.0,43.1,2.65
Cotton,Red,190.2,27.0,21.0,6.16,2088.0,26.9,86.3,1.62
Cotton,Clay,167.8,57.0,93.7,4.14,1026.1,38.8,85.7,2.75
Cotton,Loamy,42.6,34.6,41.5,6.45,2015.0,30.8,91.5,4.73
Cotton,Sandy,116.2,112.0,109.9,5.78,2447.1,36.2,86.5,1.79
Cotton,Laterite,7.5,36.5,17.7,7.9,1914.1,40.5,20.4,3.13
Cotton,Clay,88.5,22.7,89.1,6.17,1295.7,43.7,84.4,2.85
Cotton,Red,44.9,39.6,49.2,5.98,1669.1,25.5,82.1,3.29
Cotton,Black,144.2,10.3,78.7,8.05,2400.7,22.8,87.3,2.1
Cotton,Red,178.0,64.6,77.5,5.48,465.8,13.5,30.6,1.34
Cotton,Laterite,162.9,118.9,94.4,4.19,1281.4,43.9,35.2,0.8
Cotton,Laterite,32.9,142.0,197.4,4.22,460.8,24.9,34.9,0.8
Cotton,Laterite,159.5,18.4,15.8,8.0,722.5,31.3,55.5,3.33
Cotton,Clay,169.4,143.0,159.1,7.3,2155.8,11.0,57.0,1.16
Cotton,Sandy,107.0,139.0,165.9,8.22,1715.2,20.2,22.9,1.52
Cotton,Loamy,133.9,84.9,45.3,5.7,1532.5,45.0,93.6,3.54
Cotton,Clay,162.7,87.8,7.0,7.81,355.8,12.7,68.4,1.17
Cotton,Black,155.8,12.5,12.4,6.15,251.4,39.6,62.4,4.45
Cotton,Laterite,113.1,121.0,124.0,5.12,1571.3,33.1,78.7,1.81
Cotton,Alluvial,166.4,96.6,113.6,4.67,789.9,27.7,70.7,1.93
Cotton,Sandy,101.0,54.1,93.7,5.74,1608.3,9.7,33.7,0.8
Cotton,Clay,91.2,100.0,71.4,5.61,1118.6,13.8,86.5,1.21
Cotton,Alluvial,101.8,83.9,191.5,8.43,506.7,26.9,97.7,1.47
Cotton,Laterite,108.7,64.6,122.4,7.17,202.7,48.0,49.1,2.26
Cotton,Sandy,119.1,36.2,178.4,8.97,308.0,42.5,51.2,2.93
Cotton,Alluvial,20.1,121.8,32.2,6.09,2215.1,30.4,50.4,2.32
Cotton,Sandy,84.0,10.8,167.9,5.05,887.9,42.8,79.7,1.81
Cotton,Alluvial,19.0,108.8,81.2,7.83,1168.7,21.8,56.1,2.21
Cotton,Laterite,15.7,45.9,139.5,8.53,2401.1,9.0,99.2,1.11
Cotton,Laterite,187.2,114.8,25.2,5.16,1046.0,14.8,59.6,2.34
Cotton,Black,7.4,110.5,65.3,5.87,1225.8,25.1,61.2,2.49
Cotton,Clay,75.4,124.8,93.2,6.62,2457.9,10.4,59.0,0.8
Cotton,Alluvial,49.7,98.5,70.3,8.6,1668.9,19.1,57.8,2.4
Cotton,Laterite,86.2,56.3,107.4,7.0,1460.0,34.2,44.6,3.04
Cotton,Laterite,196.8,87.8,91.3,6.76,377.7,24.1,56.7,0.97
Cotton,Alluvial,152.9,92.2,72.7,4.94,934.6,35.2,41.0,1.1
Cotton,Black,177.3,106.4,71.6,6.17,444.0,14.7,33.1,0.83
Cotton,Clay,47.8,74.9,13.3,6.31,1105.5,39.2,48.4,3.52
Cotton,Black,120.6,140.0,175.8,7.39,1678.8,16.5,29.3,1.8
Cotton,Loamy,82.3,148.7,35.4,5.27,313.6,18.9,81.4,3.42
Cotton,Red,193.0,88.9,106.8,4.04,1265.7,41.5,37.6,1.53
Cotton,Black,177.6,41.5,79.3,7.89,1282.6,43.6,47.7,3.72
Cotton,Sandy,68.5,13.2,167.5,4.23,1667.8,20.6,35.4,1.21
Cotton,Laterite,42.2,105.6,122.5,4.92,755.7,24.4,75.9,2.14
Cotton,Alluvial,57.3,59.4,177.0,8.75,1819.5,27.7,71.2,4.49
Cotton,Red,111.5,36.7,110.8,5.86,1774.0,27.0,86.9,3.29
Cotton,Black,99.4,69.2,64.0,8.93,752.8,27.6,52.4,6.56
Cotton,Clay,44.5,138.2,172.4,5.0,2201.6,16.4,70.1,1.18
Cotton,Black,84.0,131.5,107.3,4.11,1820.1,12.4,83.2,1.03
Cotton,Laterite,64.6,12.1,136.7,7.93,2398.9,14.3,51.4,1.67
Cotton,Sandy,64.0,24.1,79.7,5.02,1645.6,47.8,21.0,1.77
Cotton,Red,77.1,56.1,135.4,5.94,712.3,24.0,84.6,3.55
Cotton,Sandy,112.3,49.6,109.1,4.67,2338.3,43.8,35.2,1.67
Cotton,Laterite,82.7,147.4,72.4,5.86,1563.4,19.0,75.9,3.51
Cotton,Alluvial,29.4,28.3,137.0,6.71,144.3,10.5,91.0,2.98
Cotton,Alluvial,25.1,67.5,70.8,7.28,2320.6,17.9,88.4,0.8
Cotton,Loamy,175.2,48.7,36.1,4.7,2084.8,38.5,59.8,4.2
Cotton,Sandy,116.3,133.2,8.4,6.03,2322.9,22.1,56.7,1.36
Cotton,Laterite,137.5,146.8,166.8,7.3,1866.4,45.5,96.8,1.75
Cotton,Clay,191.5,132.5,118.1,6.22,1959.6,37.6,63.1,0.8
Cotton,Laterite,83.5,32.3,110.5,5.13,2438.3,23.6,92.8,1.28
Cotton,Laterite,193.3,122.3,188.4,4.7,270.8,30.3,43.2,1.33
Cotton,Black,24.1,23.5,17.0,8.98,1029.0,44.2,43.5,5.57
Cotton,Alluvial,8.3,80.7,70.4,4.01,839.1,19.1,51.5,2.29
Cotton,Alluvial,178.6,48.0,186.6,6.25,1707.5,18.8,52.8,1.4
Cotton,Black,89.7,65.6,153.2,4.87,912.6,17.0,48.7,4.34
Cotton,Alluvial,138.2,134.3,66.5,5.08,1524.9,10.7,77.2,0.8
Cotton,Alluvial,74.2,134.4,102.9,7.23,603.0,24.7,89.0,2.31
Cotton,Sandy,29.0,105.1,147.7,4.21,1721.9,24.6,29.9,0.8
Cotton,Black,9.3,81.3,53.8,4.57,2221.0,16.0,85.8,1.56
Cotton,Black,11.7,123.7,44.1,6.9,1219.9,24.8,91.2,2.96
Cotton,Black,174.4,45.4,44.7,5.4,1455.0,11.0,58.5,3.16
Cotton,Sandy,6.5,66.4,31.8,4.8,284.6,16.2,77.2,0.8
Cotton,Alluvial,61.9,84.1,59.1,6.75,375.3,45.7,43.3,3.32
Cotton,Black,28.1,118.2,75.9,7.68,1331.1,37.5,92.6,2.52
Cotton,Sandy,17.8,41.1,116.5,4.09,701.5,17.2,40.0,3.55
Cotton,Alluvial,114.4,54.0,19.0,8.72,1956.0,41.6,49.3,4.77
Cotton,Black,52.0,37.2,190.7,8.79,1839.6,43.4,93.5,4.38
Cotton,Laterite,63.6,87.8,34.2,7.92,897.9,31.7,77.3,4.23
Cotton,Sandy,30.9,122.7,136.4,5.21,1387.5,24.1,95.1,0.8
Cotton,Red,89.2,53.2,85.2,7.01,2499.5,27.7,36.7,2.39
Cotton,Red,13.3,86.0,111.2,5.03,1768.8,37.6,40.7,2.16
Cotton,Black,38.2,50.8,178.3,6.8,1500.1,27.1,63.9,3.43
Cotton,Loamy,82.7,115.0,131.9,4.89,223.0,35.3,40.1,3.09
Cotton,Sandy,184.5,69.1,149.8,6.73,715.9,34.8,96.6,1.64
Cotton,Loamy,18.2,29.9,197.0,6.34,2181.6,42.0,60.9,1.23
Cotton,Loamy,141.1,58.8,40.3,8.62,348.6,29.7,45.1,5.12
Cotton,Alluvial,132.6,75.7,76.4,7.23,2374.1,9.7,93.5,2.37
Cotton,Loamy,97.0,131.0,85.9,6.67,148.5,14.3,71.3,1.99
Cotton,Red,139.4,14.6,96.4,7.31,1938.3,26.2,70.4,1.21
Cotton,Clay,97.0,112.9,32.3,7.35,667.2,25.5,21.3,3.37
Cotton,Clay,75.9,89.1,42.6,8.01,1907.9,35.8,59.0,1.94
Cotton,Black,49.0,94.1,10.5,8.66,1355.2,9.7,47.4,1.67
Cotton,Loamy,81.6,102.1,96.6,5.92,386.0,17.8,28.0,1.54
Cotton,Alluvial,116.1,92.8,76.3,4.38,1672.8,27.5,31.0,2.03
Cotton,Clay,64.2,86.1,135.6,4.13,1218.1,10.3,34.9,2.46
